IDW IDB ODW ODB number_of_trials correlation_count correlation is_significant
0 0 0 0 67108864 33552207 -0.000066310167313 0
0 0 0 1 67108864 33553188 -0.000037074089050 0
0 0 0 2 67108864 33545966 -0.000252306461334 0
0 0 0 3 67108864 33559271 0.000144213438034 0
0 0 0 4 67108864 33548156 -0.000187039375305 0
0 0 0 5 67108864 33843434 0.008612930774689 1
0 0 0 6 67108864 33549268 -0.000153899192810 0
0 0 0 7 67108864 33559342 0.000146329402924 0
0 0 0 8 67108864 33555032 0.000017881393433 0
0 0 0 9 67108864 33553915 -0.000015407800674 0
0 0 0 10 67108864 33522748 -0.000944256782532 1
0 0 0 11 67108864 33548309 -0.000182479619980 0
0 0 0 12 67108864 33814184 0.007741212844849 1
0 0 0 13 67108864 35281316 0.051465153694153 1
0 0 0 14 67108864 33547911 -0.000194340944290 0
0 0 0 15 67108864 33645050 0.002700626850128 1
0 0 0 16 67108864 32896237 -0.019615739583969 1
0 0 0 17 67108864 33553998 -0.000012934207916 0
0 0 0 18 67108864 33554668 0.000007033348083 0
0 0 0 19 67108864 33556631 0.000065535306931 0
0 0 0 20 67108864 33807993 0.007556706666946 1
0 0 0 21 67108864 34681642 0.033593475818634 1
0 0 0 22 67108864 33552307 -0.000063329935074 0
0 0 0 23 67108864 33567664 0.000394344329834 0
0 0 0 24 67108864 33558834 0.000131189823151 0
0 0 0 25 67108864 33550196 -0.000126242637634 0
0 0 0 26 67108864 33544462 -0.000297129154205 0
0 0 0 27 67108864 33549937 -0.000133961439133 0
0 0 0 28 67108864 33649520 0.002833843231201 1
0 0 0 29 67108864 33570295 0.000472754240036 0
0 0 0 30 67108864 33551694 -0.000081598758698 0
0 0 0 31 67108864 33554810 0.000011265277863 0
0 0 1 0 67108864 33553196 -0.000036835670471 0
0 0 1 1 67108864 33552658 -0.000052869319916 0
0 0 1 2 67108864 33555026 0.000017702579498 0
0 0 1 3 67108864 33554663 0.000006884336472 0
0 0 1 4 67108864 33512680 -0.001244306564331 1
0 0 1 5 67108864 33547300 -0.000212550163269 0
0 0 1 6 67108864 33560808 0.000190019607544 0
0 0 1 7 67108864 33677056 0.003654479980469 1
0 0 1 8 67108864 33554268 -0.000004887580872 0
